timestamp_utc,pair,direction,entry_price,exit_price,quantity,pnl_usd,balance_change_usd,balance_after_usd,regime,engine,hold_hours,exit_reason
2024-07-01T13:00:00.000Z,BTCUSDT,long,63631.9,62573.63,0.354353,-388.3,-388.3,99611.7,TREND_UP,trend,11,stop
2024-07-06T17:00:00.000Z,ETHUSDT,short,3312.69,3049.67,5.876435,1534.87,1534.87,101146.56,TREND_DOWN,trend,78,exit
2024-07-18T16:00:00.000Z,BTCUSDT,long,61260.1,63500.1,0.282207,621.39,621.39,101767.95,TREND_UP,trend,90,exit
2024-07-21T18:00:00.000Z,ETHUSDT,long,3253.19,3467.18,6.478772,1372.91,1372.91,103140.87,TREND_UP,trend,164,exit
2024-07-23T06:00:00.000Z,BTCUSDT,long,67107.8,66400,0.233996,-174.94,-174.94,102965.92,TREND_UP,trend,82,exit
2024-07-27T13:00:00.000Z,ETHUSDT,short,3213.08,3286.26,3.325369,-249.91,-249.91,102716.02,TREND_DOWN,trend,59,exit
2024-07-27T19:00:00.000Z,BTCUSDT,long,69205.9,68079.65,0.333129,-388.79,-388.79,102327.22,TREND_UP,trend,5,stop
2024-08-06T17:00:00.000Z,BTCUSDT,short,64577.4,56743.7,0.215343,1679.6,1679.6,104006.82,TREND_DOWN,trend,140,exit
2024-08-08T17:00:00.000Z,ETHUSDT,short,3146,2584.04,3.861961,2164.28,2164.28,106171.1,TREND_DOWN,trend,180,exit
2024-08-11T16:00:00.000Z,BTCUSDT,long,61154.8,60099.9,0.156977,-171.26,-171.26,105999.85,TREND_UP,trend,66,exit
2024-08-16T17:00:00.000Z,BTCUSDT,short,57002.5,58963.46,0.195503,-390.29,-390.29,105609.56,TREND_DOWN,trend,21,stop
2024-08-26T18:00:00.000Z,ETHUSDT,long,2725.99,2693.46,5.659754,-193.26,-193.26,105416.3,TREND_UP,trend,72,exit
2024-08-27T01:00:00.000Z,BTCUSDT,long,62966,62690.2,0.231126,-72.44,-72.44,105343.86,TREND_UP,trend,79,exit
2024-08-29T14:00:00.000Z,BTCUSDT,short,60379.6,60603.7,0.244466,-63.67,-63.67,105280.19,TREND_DOWN,trend,40,exit
2024-09-02T10:00:00.000Z,ETHUSDT,short,2585.3,2515,5.852823,402.62,402.62,105682.81,TREND_DOWN,trend,139,exit
2024-09-09T14:00:00.000Z,BTCUSDT,short,54709.2,55652.2,0.204384,-199.56,-199.56,105483.25,TREND_DOWN,trend,71,exit
2024-09-09T17:00:00.000Z,ETHUSDT,short,2289.03,2340.65,4.419311,-234.33,-234.33,105248.92,TREND_DOWN,trend,73,exit
2024-09-11T06:00:00.000Z,BTCUSDT,long,57424.9,56213.9,0.234239,-291.56,-291.56,104957.35,TREND_UP,trend,32,exit
2024-09-14T18:00:00.000Z,ETHUSDT,long,2446.09,2383.54,6.562871,-419.9,-419.9,104537.46,TREND_UP,trend,20,stop
2024-09-15T23:00:00.000Z,BTCUSDT,long,60237.9,58869.48,0.274367,-385.14,-385.14,104152.32,TREND_UP,trend,49,stop
2024-09-18T10:00:00.000Z,BTCUSDT,long,61111,59583.5,0.243853,-381.2,-381.2,103771.11,TREND_UP,trend,18,stop
2024-09-22T22:00:00.000Z,ETHUSDT,long,2436.61,2546.29,5.734642,620.21,620.21,104391.33,TREND_UP,trend,86,exit
2024-09-24T14:00:00.000Z,ETHUSDT,long,2675.37,2590.18,4.834714,-419.39,-419.39,103971.94,TREND_UP,trend,34,stop
2024-09-30T01:00:00.000Z,BTCUSDT,long,66203.2,64878.92,0.279064,-380.42,-380.42,103591.51,TREND_UP,trend,58,stop
2024-10-04T15:00:00.000Z,ETHUSDT,short,2336.23,2414.59,5.215632,-416.23,-416.23,103175.28,TREND_DOWN,trend,30,stop
2024-10-07T11:00:00.000Z,BTCUSDT,long,63653.1,62721.51,0.393546,-381.43,-381.43,102793.85,TREND_UP,trend,10,stop
2024-10-11T13:00:00.000Z,BTCUSDT,short,61174.2,61349.9,0.313462,-66.61,-66.61,102727.24,TREND_DOWN,trend,42,exit
2024-10-15T15:00:00.000Z,ETHUSDT,long,2621.97,2549.29,5.579036,-414.03,-414.03,102313.2,TREND_UP,trend,24,stop
2024-10-21T13:00:00.000Z,ETHUSDT,long,2710,2669.32,9.891003,-418.17,-418.17,101895.04,TREND_UP,trend,22,stop
2024-10-21T14:00:00.000Z,BTCUSDT,long,65895.7,67330.1,0.243994,340.13,340.13,102235.16,TREND_UP,trend,167,exit
2024-10-28T10:00:00.000Z,ETHUSDT,short,2575.86,2541.58,7.620009,249.59,249.59,102484.76,TREND_DOWN,trend,121,exit
2024-10-31T14:00:00.000Z,BTCUSDT,long,69566.1,71322.1,0.296822,508.52,508.52,102993.28,TREND_UP,trend,66,exit
2024-10-31T14:00:00.000Z,ETHUSDT,long,2612.41,2603.41,5.435661,-57.41,-57.41,102935.86,TREND_UP,trend,59,exit
2024-11-03T21:00:00.000Z,BTCUSDT,short,68200,69245.19,0.353298,-383.94,-383.94,102551.92,TREND_DOWN,trend,18,stop
2024-11-04T02:00:00.000Z,ETHUSDT,short,2434.35,2484.61,7.96539,-412.23,-412.23,102139.69,TREND_DOWN,trend,23,stop
2024-11-05T07:00:00.000Z,ETHUSDT,short,2370.29,2440.68,5.642686,-405.44,-405.44,101734.25,TREND_DOWN,trend,9,stop
2024-11-13T05:00:00.000Z,ETHUSDT,long,3040.1,3192.4,3.869617,581.93,581.93,102316.18,TREND_UP,trend,95,exit
2024-11-17T22:00:00.000Z,BTCUSDT,long,79273.7,89191.7,0.219798,2168.19,2168.19,104484.37,TREND_UP,trend,185,exit
