open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1772323200000,66937.00,67089.60,66578.30,66755.60,5453.855,1772326799999,364278666.15580,171222,2318.933,154892312.80780,0
1772326800000,66755.50,67686.70,65812.00,67311.60,22231.963,1772330399999,1485682589.08910,451697,11333.257,758258488.29600,0
1772330400000,67311.70,68189.00,67305.20,67588.30,21306.568,1772333999999,1445351587.08690,538766,10846.032,735720738.59720,0
1772334000000,67588.30,67793.40,67351.00,67474.70,7567.478,1772337599999,511193166.02030,218410,3675.339,248344076.73610,0
1772337600000,67474.80,67582.20,67017.40,67313.00,7115.379,1772341199999,478727678.75460,191562,3325.615,223734380.01850,0
1772341200000,67313.10,67547.30,67163.50,67264.20,4624.974,1772344799999,311568760.98800,124233,2313.737,155896753.48830,0
1772344800000,67264.20,67320.00,66757.20,66890.10,8291.891,1772348399999,555493898.61580,210347,3221.641,215795993.36970,0
1772348400000,66890.00,67201.20,66757.90,67113.90,4429.365,1772351999999,296854689.27860,145182,2570.903,172332833.92810,0
1772352000000,67114.00,67275.50,66429.80,66535.00,7870.480,1772355599999,526044902.83850,231480,3645.691,243742182.37870,0
1772355600000,66535.00,66745.40,66205.80,66380.10,7940.514,1772359199999,527755365.57840,253259,3824.962,254237111.07660,0
1772359200000,66380.10,66720.20,66160.40,66430.00,6282.750,1772362799999,417584224.94560,171436,3236.813,215133039.44990,0
1772362800000,66429.90,66638.00,66344.00,66439.00,3236.298,1772366399999,215154403.36060,90600,1870.687,124369570.07980,0
1772366400000,66439.00,66525.90,66211.60,66270.60,3458.030,1772369999999,229517659.65320,119014,1716.292,113917827.66190,0
1772370000000,66270.50,67333.00,66100.00,66907.10,13102.466,1772373599999,874833620.41180,331870,6911.710,461600209.11950,0
1772373600000,66907.20,67280.00,66702.90,66817.50,8503.088,1772377199999,569143605.96310,331228,4216.050,282261253.84120,0
1772377200000,66817.50,67219.10,66770.20,66810.80,6402.057,1772380799999,429211525.85860,213984,3287.064,220398061.54220,0
1772380800000,66810.80,67083.00,65777.00,66112.20,14881.785,1772384399999,987760185.07140,368487,6508.547,432233868.87720,0
1772384400000,66112.20,66200.00,65681.30,65956.80,10459.874,1772387999999,690074544.17390,303074,5190.065,342470499.57400,0
1772388000000,65956.70,66656.00,65954.20,66288.10,8012.274,1772391599999,531755344.66410,216026,4273.378,283634749.21450,0
1772391600000,66288.00,66325.80,65750.00,65926.00,5738.349,1772395199999,378663043.64990,150486,2000.713,132077246.49680,0
1772395200000,65925.90,65932.00,65030.30,65255.70,11496.845,1772398799999,751571572.27620,317349,5077.422,331883262.74280,0
1772398800000,65255.70,65726.70,65242.00,65629.30,4805.846,1772402399999,314814230.20980,158345,2691.653,176338524.77250,0
1772402400000,65629.20,66888.00,65011.00,65241.00,16839.769,1772405999999,1107664024.24720,343279,9681.793,637653297.64880,0
1772406000000,65241.00,66052.60,65092.40,65750.00,9059.538,1772409599999,594840752.67450,310027,5276.388,346290839.97720,0
1772409600000,65749.90,66766.00,65726.00,66472.50,9209.574,1772413199999,610057871.35280,342243,4962.324,328712588.25850,0
1772413200000,66472.60,67082.50,66326.70,66500.00,7438.848,1772416799999,496041218.27270,335384,3794.195,253079502.00590,0
1772416800000,66500.00,66585.00,65842.50,66242.20,6462.206,1772420399999,427607332.71590,242514,2908.796,192483072.39810,0
1772420400000,66242.20,67014.90,66071.00,66787.30,6935.105,1772423999999,462450930.84340,259575,3810.690,254116639.98780,0
1772424000000,66787.30,66950.00,66600.10,66825.10,4900.156,1772427599999,327087078.33630,173653,2457.273,164022022.13920,0
1772427600000,66825.20,66966.00,66513.80,66701.20,4040.023,1772431199999,269644657.97770,153484,1923.683,128408786.12340,0
1772431200000,66701.20,66703.10,66015.00,66176.90,6189.233,1772434799999,410227247.52540,227743,3010.325,199484542.22790,0
1772434800000,66176.80,66182.90,65509.00,65981.30,8780.148,1772438399999,577540634.21730,263013,3944.242,259479777.81830,0
1772438400000,65981.20,66279.20,65612.40,66247.90,7684.981,1772441999999,506562443.42210,254091,3893.562,256732250.31560,0
1772442000000,66247.90,66707.50,66118.80,66132.30,8485.670,1772445599999,563165629.81660,251465,4285.461,284456052.41720,0
1772445600000,66132.30,66368.50,66039.60,66284.00,3720.637,1772449199999,246291473.64110,137856,1938.431,128334894.34020,0
1772449200000,66284.00,66455.70,65973.10,66329.90,5955.186,1772452799999,394078548.61040,180667,2943.030,194779622.71760,0
1772452800000,66329.80,66369.10,65879.60,65927.80,4353.668,1772456399999,287729011.16410,146510,1959.420,129491951.85990,0
1772456400000,65927.70,66111.90,65319.90,65412.30,10340.986,1772459999999,679204222.74360,307270,4546.438,298641936.91120,0
1772460000000,65412.30,67188.00,65234.40,67128.70,27469.276,1772463599999,1821077342.99650,718101,14586.842,967169803.38880,0
1772463600000,67128.60,69588.00,66911.20,69089.10,58354.380,1772467199999,4000693054.57860,1159625,31357.234,2148965814.94120,0
1772467200000,69089.10,70100.00,68871.60,69395.60,34435.940,1772470799999,2393757525.97980,721689,18225.580,1267423181.81650,0
1772470800000,69395.20,69549.20,68757.60,69170.30,14982.278,1772474399999,1036395117.29950,362956,7295.729,504749104.46460,0
1772474400000,69170.00,69247.10,68700.10,68853.80,9943.864,1772477999999,686174118.70610,277167,4935.446,340565661.75350,0
1772478000000,68853.80,69039.10,68519.80,68928.40,9926.528,1772481599999,682784533.97400,245359,5022.154,345453448.84430,0
1772481600000,68928.40,69468.40,68529.50,69054.20,11481.181,1772485199999,792407377.07010,332481,5943.174,410237010.89990,0
1772485200000,69054.10,69500.00,68953.90,69366.90,4924.284,1772488799999,341067607.63810,165688,2704.409,187309388.17590,0
1772488800000,69366.90,69459.00,69103.00,69414.20,4427.311,1772492399999,306837317.03740,134730,2426.323,168161689.31190,0
1772492400000,69414.20,69453.80,68700.00,68801.80,6936.569,1772495999999,478520370.57290,201136,3326.446,229452948.07740,0
1772496000000,68801.80,69132.20,68600.00,69051.90,5873.573,1772499599999,404611555.42850,191640,3060.834,210886862.03960,0
1772499600000,69051.80,69221.60,68717.40,68724.60,4829.284,1772503199999,332976720.37310,193899,2666.531,183873418.97460,0
1772503200000,68724.50,68744.00,68142.10,68478.10,10001.474,1772506799999,684407897.34560,264484,4764.319,326050686.75970,0
1772506800000,68478.00,68516.20,68186.40,68349.30,3949.677,1772510399999,269971254.69540,131688,2069.455,141461603.77570,0
1772510400000,68349.40,68425.70,68018.00,68093.00,4139.493,1772513999999,282292348.51910,130806,1864.033,127151690.78470,0
1772514000000,68093.10,68561.90,67801.00,67911.60,9362.483,1772517599999,637843854.23210,229458,4614.325,314511270.76640,0
1772517600000,67911.60,68248.00,67759.60,68070.00,6540.543,1772521199999,444260594.48420,176289,3515.416,238845976.35760,0
1772521200000,68070.00,68264.20,67915.20,68138.30,5141.807,1772524799999,350224008.70000,157253,2920.946,198963896.57770,0
1772524800000,68138.20,68281.60,66853.50,66972.70,18782.595,1772528399999,1267346988.87540,381823,8070.417,544712365.78550,0
1772528400000,66972.80,67157.00,66270.70,66614.50,19131.814,1772531999999,1276839963.15040,402443,9770.743,652294788.80620,0
1772532000000,66614.40,67035.60,66400.00,66826.30,10902.445,1772535599999,726629560.26290,261805,6166.595,411097143.82250,0
1772535600000,66826.40,67134.80,66729.00,67000.00,8766.398,1772539199999,586835407.38600,244719,4645.841,311052049.14030,0
1772539200000,67000.00,68000.00,67000.00,67360.10,14562.660,1772542799999,982537116.69500,344907,7562.052,510274064.74560,0
1772542800000,67360.10,67400.00,66600.50,66893.60,11113.994,1772546399999,744135320.46210,302563,4833.137,323569137.87020,0
1772546400000,66893.70,67559.00,66080.00,66539.90,22608.560,1772549999999,1510136824.16100,646728,10896.764,728112503.11520,0
1772550000000,66539.90,67830.90,66424.10,67692.50,19647.813,1772553599999,1320545914.08860,625405,10132.949,681248757.90080,0
1772553600000,67692.50,68972.90,67440.00,68137.40,29658.399,1772557199999,2023081786.28870,793438,15640.381,1066880519.26600,0
1772557200000,68137.40,68377.90,67582.60,68280.50,12272.207,1772560799999,834392627.71120,415374,6320.319,429747286.54410,0
1772560800000,68280.50,68885.00,67934.20,68589.90,9732.567,1772564399999,666440549.30910,333859,5063.070,346697416.93190,0
1772564400000,68590.00,68845.80,68260.00,68395.90,9839.050,1772567999999,674529553.32290,337984,4847.357,332379041.22330,0
1772568000000,68395.90,68557.40,68042.40,68232.90,5543.550,1772571599999,378529381.05560,236454,2489.241,169984214.09580,0
1772571600000,68233.30,68233.30,67778.40,67976.50,5601.340,1772575199999,380718955.75790,155840,2891.001,196506979.61490,0
1772575200000,67976.50,68485.50,67976.50,68275.10,3828.395,1772578799999,261434234.18800,137019,1757.102,119980424.95340,0
1772578800000,68275.20,68821.50,68206.40,68295.30,5639.779,1772582399999,386348979.63550,160206,3120.412,213786384.16160,0
1772582400000,68295.20,68383.40,67826.00,68065.80,6011.630,1772585999999,409428893.76720,209192,2889.420,196868867.52880,0
