open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1775001600000,68241.40,68305.10,67808.10,68288.00,5899.344,1775005199999,401467308.56740,177751,2712.953,184670755.67830,0
1775005200000,68288.00,68330.00,67707.50,67746.40,5867.034,1775008799999,398963224.10000,163023,2712.114,184448512.17380,0
1775008800000,67746.40,67881.20,67534.90,67623.80,4392.190,1775012399999,297331688.19320,142735,1990.793,134778746.99980,0
1775012400000,67623.90,68214.50,67623.90,68134.00,4893.429,1775015999999,332709074.55170,134142,2905.087,197534750.31140,0
1775016000000,68134.00,68450.00,67965.00,68272.30,6806.107,1775019599999,463936054.78660,145864,3464.290,236223371.45550,0
1775019600000,68272.30,68732.50,68114.50,68418.20,8388.280,1775023199999,574438767.32220,192109,4634.450,317417863.91550,0
1775023200000,68418.30,69220.00,68418.20,69069.10,14347.278,1775026799999,988888391.44770,239428,8242.635,568117215.66770,0
1775026800000,69069.10,69288.00,68631.10,68651.90,9948.863,1775030399999,685876035.34290,187423,4363.185,300844644.93750,0
1775030400000,68651.90,68821.50,68425.50,68630.80,7971.803,1775033999999,547111253.08600,175046,4117.088,282566414.65980,0
1775034000000,68630.90,68702.30,68360.00,68608.40,5165.172,1775037599999,353829179.43840,141010,2407.908,164983027.04470,0
1775037600000,68608.40,68632.10,68370.10,68545.10,3236.913,1775041199999,221734841.06900,106280,1608.379,110182427.72730,0
1775041200000,68545.20,68702.30,68471.50,68669.90,3332.164,1775044799999,228542405.60880,102924,1723.877,118241616.69700,0
1775044800000,68670.00,68773.90,68220.90,68363.80,9084.820,1775048399999,622034142.90820,217516,4420.265,302722090.48320,0
1775048400000,68364.10,68650.00,67883.70,68091.40,12785.834,1775051999999,872174519.58350,324029,6099.688,416157738.67350,0
1775052000000,68091.40,68657.10,68020.00,68559.10,8903.706,1775055599999,608741352.17340,279689,4789.020,327434816.39150,0
1775055600000,68559.20,68938.80,68380.30,68877.00,7696.492,1775059199999,528837974.03120,207557,4410.193,303105764.84410,0
1775059200000,68876.90,68961.60,68570.00,68781.10,6621.467,1775062799999,455319141.94730,180237,3291.081,226319631.17560,0
1775062800000,68781.10,69142.60,68212.10,68239.70,8742.133,1775066399999,599882067.99000,230436,4259.769,292421653.83710,0
1775066400000,68239.70,68313.80,67900.40,68054.20,8261.383,1775069999999,562472890.80040,236673,4353.830,296448053.94470,0
1775070000000,68054.20,68269.90,68000.00,68143.80,3616.318,1775073599999,246400776.75670,133225,1984.010,135182183.48380,0
1775073600000,68143.70,68217.80,67927.00,68159.80,2825.356,1775077199999,192339331.12270,90301,1395.781,95030355.32020,0
1775077200000,68159.70,68510.60,68136.50,68324.70,3518.395,1775080799999,240453225.11040,97438,1888.727,129081929.65080,0
1775080800000,68324.80,68324.80,68032.90,68088.40,2650.481,1775084399999,180679267.94350,110237,1249.880,85198961.01680,0
1775084400000,68088.50,68220.90,67952.20,68086.50,2321.258,1775087999999,158053928.13620,91694,1084.363,73835975.07410,0
1775088000000,68086.40,68639.10,68013.30,68565.10,4810.862,1775091599999,328786004.34440,161477,2698.972,184433670.82120,0
1775091600000,68565.20,68565.20,67000.30,67316.40,28476.843,1775095199999,1924544716.86240,718203,13068.867,883267756.23360,0
1775095200000,67316.40,67316.40,66590.00,66821.60,10945.857,1775098799999,732257688.72100,319412,5033.877,336773060.19650,0
1775098800000,66821.60,66931.90,66455.90,66538.40,6817.005,1775102399999,454492584.41380,189492,3047.475,203243125.83540,0
1775102400000,66538.40,66617.70,66171.80,66300.20,7198.698,1775105999999,477758953.54780,169736,3336.857,221457195.64350,0
1775106000000,66300.20,66628.80,66270.00,66558.20,7378.976,1775109599999,490415251.11440,137144,3879.457,257811424.74760,0
1775109600000,66558.20,66798.90,66506.40,66652.90,6658.861,1775113199999,443745191.63330,116830,3080.433,205294997.53450,0
1775113200000,66653.00,66898.50,66521.40,66887.90,3805.262,1775116799999,254048058.29060,95894,2138.928,142804651.23350,0
1775116800000,66887.80,66887.90,66372.90,66418.20,5263.115,1775120399999,350449992.39950,115880,2277.942,151671511.13200,0
1775120400000,66418.10,66487.70,66256.00,66428.60,4756.070,1775123999999,315740077.46060,112499,2325.558,154388510.58810,0
1775124000000,66428.70,66471.90,66188.10,66424.00,3978.965,1775127599999,263936685.65220,108670,1808.661,119988839.35870,0
1775127600000,66424.10,66449.70,66065.10,66180.60,5811.944,1775131199999,385246489.86450,123653,2710.698,179683648.21140,0
1775131200000,66180.60,66215.20,65919.10,66014.20,9031.717,1775134799999,596740751.22080,188680,4147.403,274063635.16840,0
1775134800000,66014.30,66250.00,65676.10,66227.30,15856.243,1775138399999,1045871600.82190,315410,6561.600,432937820.32120,0
